lane	category	operation	algorithm	run	count	mean_ns
3.5.8	signature	sign	ED25519	3	2500	23985.8
3.5.8	signature	verify	ED25519	3	2500	78268.2
3.5.8	signature	keygen	ED448	3	1000	145784.4
3.5.8	signature	sign	ED448	3	2500	146021.8
3.5.8	signature	verify	ED448	3	2500	157713.9
3.5.8	kex	keygen	X301	4	1500	29180.0
3.5.8	kex	derive-setup	X301	4	1500	1743.0
3.5.8	kex	derive-first	X301	4	1500	59597.4
3.5.8	kex	derive-second	X301	4	600	59583.0
3.5.8	kex	derive-steady	X301	4	1500	59403.4
3.5.8	kex	keygen	X448	4	1500	144829.0
3.5.8	kex	derive-setup	X448	4	1500	1155.7
3.5.8	kex	derive-first	X448	4	1500	121097.4
3.5.8	kex	derive-second	X448	4	600	119208.8
3.5.8	kex	derive-steady	X448	4	1500	119171.2
3.5.8	kex	keygen	X25519	4	1500	23890.6
3.5.8	kex	derive-setup	X25519	4	1500	1185.9
3.5.8	kex	derive-first	X25519	4	1500	23641.4
3.5.8	kex	derive-second	X25519	4	600	23683.6
3.5.8	kex	derive-steady	X25519	4	1500	23618.6
3.5.8	kem	kem-keygen	X301MLKEM1024	4	400	67782.3
3.5.8	kem	encaps	X301MLKEM1024	4	500	108949.4
3.5.8	kem	decaps	X301MLKEM1024	4	700	90093.6
3.5.8	kem	kem-keygen	X448MLKEM1024	4	400	183650.8
3.5.8	kem	encaps	X448MLKEM1024	4	500	285214.3
3.5.8	kem	decaps	X448MLKEM1024	4	700	151936.1
3.5.8	kem	kem-keygen	X25519MLKEM768	4	400	50056.7
3.5.8	kem	encaps	X25519MLKEM768	4	500	63828.0
3.5.8	kem	decaps	X25519MLKEM768	4	700	48461.8
3.5.8	kem	kem-keygen	ML-KEM-1024	4	400	37901.3
3.5.8	kem	encaps	ML-KEM-1024	4	500	20066.9
3.5.8	kem	decaps	ML-KEM-1024	4	700	30069.7
3.5.8	signature	keygen	ED448	4	1000	146857.9
3.5.8	signature	sign	ED448	4	2500	146450.8
3.5.8	signature	verify	ED448	4	2500	155352.7
3.5.8	signature	keygen	ED25519	4	1000	25047.3
3.5.8	signature	sign	ED25519	4	2500	23897.6
3.5.8	signature	verify	ED25519	4	2500	77450.8
3.5.8	kex	keygen	X25519	5	1500	23720.5
3.5.8	kex	derive-setup	X25519	5	1500	1167.8
3.5.8	kex	derive-first	X25519	5	1500	23641.3
3.5.8	kex	derive-second	X25519	5	600	23510.5
3.5.8	kex	derive-steady	X25519	5	1500	23599.5
3.5.8	kex	keygen	X448	5	1500	144006.7
3.5.8	kex	derive-setup	X448	5	1500	1177.4
3.5.8	kex	derive-first	X448	5	1500	119169.8
3.5.8	kex	derive-second	X448	5	600	120046.0
3.5.8	kex	derive-steady	X448	5	1500	119761.8
3.5.8	kex	keygen	X301	5	1500	29157.4
3.5.8	kex	derive-setup	X301	5	1500	1711.2
3.5.8	kex	derive-first	X301	5	1500	60018.1
3.5.8	kex	derive-second	X301	5	600	59462.2
3.5.8	kex	derive-steady	X301	5	1500	59822.2
3.5.8	kem	kem-keygen	ML-KEM-1024	5	400	38389.8
3.5.8	kem	encaps	ML-KEM-1024	5	500	20154.1
3.5.8	kem	decaps	ML-KEM-1024	5	700	30118.4
3.5.8	kem	kem-keygen	X25519MLKEM768	5	400	50254.8
3.5.8	kem	encaps	X25519MLKEM768	5	500	64292.6
3.5.8	kem	decaps	X25519MLKEM768	5	700	48738.6
3.5.8	kem	kem-keygen	X448MLKEM1024	5	400	185324.0
3.5.8	kem	encaps	X448MLKEM1024	5	500	285557.3
3.5.8	kem	decaps	X448MLKEM1024	5	700	151166.0
3.5.8	kem	kem-keygen	X301MLKEM1024	5	400	67955.5
3.5.8	kem	encaps	X301MLKEM1024	5	500	108571.0
3.5.8	kem	decaps	X301MLKEM1024	5	700	89846.8
3.5.8	signature	keygen	ED25519	5	1000	25040.6
3.5.8	signature	sign	ED25519	5	2500	23911.6
3.5.8	signature	verify	ED25519	5	2500	77808.6
3.5.8	signature	keygen	ED448	5	1000	146603.3
3.5.8	signature	sign	ED448	5	2500	146517.5
3.5.8	signature	verify	ED448	5	2500	155721.9
3.5.8	kex	keygen	X301	6	1500	29492.1
3.5.8	kex	derive-setup	X301	6	1500	1786.8
3.5.8	kex	derive-first	X301	6	1500	59498.4
3.5.8	kex	derive-second	X301	6	600	59512.1
3.5.8	kex	derive-steady	X301	6	1500	59815.7
3.5.8	kex	keygen	X448	6	1500	144816.3
3.5.8	kex	derive-setup	X448	6	1500	1146.2
3.5.8	kex	derive-first	X448	6	1500	119196.8
3.5.8	kex	derive-second	X448	6	600	118847.7
3.5.8	kex	derive-steady	X448	6	1500	120662.0
3.5.8	kex	keygen	X25519	6	1500	23647.2
3.5.8	kex	derive-setup	X25519	6	1500	1177.0
3.5.8	kex	derive-first	X25519	6	1500	23679.3
3.5.8	kex	derive-second	X25519	6	600	23947.7
3.5.8	kex	derive-steady	X25519	6	1500	23686.3
3.5.8	kem	kem-keygen	X301MLKEM1024	6	400	67887.5
3.5.8	kem	encaps	X301MLKEM1024	6	500	108343.5
3.5.8	kem	decaps	X301MLKEM1024	6	700	89712.3
3.5.8	kem	kem-keygen	X448MLKEM1024	6	400	184480.2
3.5.8	kem	encaps	X448MLKEM1024	6	500	285966.2
3.5.8	kem	decaps	X448MLKEM1024	6	700	151493.3
3.5.8	kem	kem-keygen	X25519MLKEM768	6	400	50712.3
3.5.8	kem	encaps	X25519MLKEM768	6	500	63919.0
3.5.8	kem	decaps	X25519MLKEM768	6	700	48368.1
3.5.8	kem	kem-keygen	ML-KEM-1024	6	400	38053.6
3.5.8	kem	encaps	ML-KEM-1024	6	500	19876.5
3.5.8	kem	decaps	ML-KEM-1024	6	700	30040.7
3.5.8	signature	keygen	ED448	6	1000	146441.8
3.5.8	signature	sign	ED448	6	2500	145933.7
3.5.8	signature	verify	ED448	6	2500	155802.9
3.5.8	signature	keygen	ED25519	6	1000	25155.1
3.5.8	signature	sign	ED25519	6	2500	24006.0
3.5.8	signature	verify	ED25519	6	2500	78350.9
3.5.8	kex	keygen	X25519	7	1500	23858.4
3.5.8	kex	derive-setup	X25519	7	1500	1168.3
